Order ID,Region,State,Category,Sub-Category,Sales,Profit,Quantity,Discount,Customer Name,City,Payment Mode,Profit Ratio
1,South,Madhya Pradesh,Electronics,Fiction,42962.33,14302.31,5,0.0,Customer_0,City_0,Debit Card,0.33
2,South,Himachal Pradesh,Books,Televisions,47173.72,12378.22,18,0.05,Customer_1,City_1,Cash,0.26
3,South,Odisha,Electronics,Kids' Fashion,6488.99,8164.77,4,0.2,Customer_2,City_2,UPI,1.26
4,West,Odisha,Beauty & Personal Care,Non-Fiction,48905.99,8458.53,7,0.1,Customer_3,City_3,Credit Card,0.17
5,Central,Tamil Nadu,Electronics,Skincare,10169.27,4385.13,3,0.0,Customer_4,City_4,UPI,0.43
6,North,Andhra Pradesh,Beauty & Personal Care,Women's Fashion,7448.33,12897.25,3,0.15,Customer_5,City_5,Cash,1.73
7,East,Sikkim,Books,Men's Fashion,23846.98,2878.79,10,0.15,Customer_6,City_6,UPI,0.12
8,South,Uttarakhand,Books,Women's Fashion,14447.68,-2358.94,14,0.15,Customer_7,City_7,UPI,-0.16
9,North,Karnataka,Beauty & Personal Care,Women's Fashion,22554.94,-2641.89,6,0.05,Customer_8,City_8,Cash,-0.12
10,East,Karnataka,Books,Women's Fashion,30212.89,9803.05,13,0.15,Customer_9,City_9,Debit Card,0.32
11,Central,Jharkhand,Clothing,Skincare,46904.26,-1539.15,1,0.15,Customer_10,City_10,Cash,-0.03
12,Central,Jharkhand,Home & Kitchen,Furniture,33044.04,7456.76,6,0.1,Customer_11,City_11,UPI,0.23
13,North,Sikkim,Beauty & Personal Care,Non-Fiction,36058.42,5680.06,11,0.15,Customer_12,City_12,Credit Card,0.16
14,East,Tamil Nadu,Books,Textbooks,1863.82,13330.73,13,0.0,Customer_13,City_13,Credit Card,7.15
15,West,Bihar,Electronics,Laptops,6323.88,14684.02,17,0.2,Customer_14,City_14,UPI,2.32
16,Central,Mizoram,Beauty & Personal Care,Furniture,42344.66,4634.3,11,0.1,Customer_15,City_15,UPI,0.11
17,Central,Tamil Nadu,Books,Laptops,20429.7,6307.56,5,0.05,Customer_16,City_16,Cash,0.31
18,West,Telangana,Electronics,Men's Fashion,27411.35,5974.51,9,0.15,Customer_17,City_17,Credit Card,0.22
19,Central,West Bengal,Clothing,Non-Fiction,48258.67,-2761.84,11,0.2,Customer_18,City_18,Debit Card,-0.06
20,West,Jharkhand,Beauty & Personal Care,Kids' Fashion,32679.67,116.24,6,0.0,Customer_19,City_19,Debit Card,0.0
21,South,Madhya Pradesh,Home & Kitchen,Haircare,31856.47,4360.8,13,0.1,Customer_20,City_20,UPI,0.14
22,West,Karnataka,Beauty & Personal Care,Cookware,46575.09,13242.85,5,0.0,Customer_21,City_21,UPI,0.28
23,East,Nagaland,Electronics,Skincare,10376.66,-341.97,10,0.1,Customer_22,City_22,Cash,-0.03
24,Central,Jammu & Kashmir,Electronics,Haircare,29722.98,3554.89,8,0.0,Customer_23,City_23,Debit Card,0.12
25,West,Gujarat,Home & Kitchen,Men's Fashion,20441.25,11321.79,6,0.05,Customer_24,City_24,UPI,0.55
26,South,Rajasthan,Books,Women's Fashion,34445.28,572.05,3,0.0,Customer_25,City_25,Debit Card,0.02
27,East,Punjab,Clothing,Men's Fashion,1361.11,-4925.57,15,0.0,Customer_26,City_26,Debit Card,-3.62
28,South,Arunachal Pradesh,Home & Kitchen,Fiction,33044.0,9036.91,9,0.0,Customer_27,City_27,UPI,0.27
29,South,Assam,Clothing,Textbooks,27008.55,-1480.78,4,0.1,Customer_28,City_28,UPI,-0.05
30,North,Nagaland,Home & Kitchen,Fiction,26875.2,14445.0,8,0.15,Customer_29,City_29,Cash,0.54
31,South,Nagaland,Beauty & Personal Care,Textbooks,28770.2,4680.09,18,0.2,Customer_30,City_30,Cash,0.16
32,West,Haryana,Electronics,Non-Fiction,33692.21,-1005.86,5,0.15,Customer_31,City_31,Cash,-0.03
33,West,Tripura,Home & Kitchen,Haircare,3802.91,9129.43,11,0.1,Customer_32,City_32,UPI,2.4
34,North,Rajasthan,Home & Kitchen,Fiction,14073.91,2030.5,4,0.2,Customer_33,City_33,UPI,0.14
35,Central,Goa,Electronics,Televisions,2175.81,11032.31,1,0.1,Customer_34,City_34,UPI,5.07
36,Central,Delhi,Books,Textbooks,11373.81,466.43,4,0.05,Customer_35,City_35,Cash,0.04
37,South,Kerala,Books,Audio,18821.34,-67.11,7,0.2,Customer_36,City_36,Debit Card,-0.0
38,North,Meghalaya,Electronics,Audio,31929.16,-2993.27,8,0.2,Customer_37,City_37,Credit Card,-0.09
39,East,Karnataka,Beauty & Personal Care,Men's Fashion,5674.26,6285.75,11,0.05,Customer_38,City_38,Credit Card,1.11
40,North,Kerala,Home & Kitchen,Non-Fiction,17665.23,1848.63,18,0.15,Customer_39,City_39,Cash,0.1
41,Central,West Bengal,Home & Kitchen,Laptops,12622.98,-538.37,19,0.15,Customer_40,City_40,UPI,-0.04
42,North,Mizoram,Electronics,Decor,33259.7,5398.63,15,0.0,Customer_41,City_41,Credit Card,0.16
43,West,Tamil Nadu,Home & Kitchen,Decor,25239.38,8065.35,10,0.1,Customer_42,City_42,Debit Card,0.32
44,North,Gujarat,Books,Televisions,9587.33,8780.68,10,0.2,Customer_43,City_43,UPI,0.92
45,Central,Chhattisgarh,Home & Kitchen,Skincare,41705.59,8809.86,2,0.05,Customer_44,City_44,UPI,0.21
46,Central,Madhya Pradesh,Home & Kitchen,Haircare,36696.64,10477.83,1,0.2,Customer_45,City_45,Debit Card,0.29
47,South,Chhattisgarh,Clothing,Decor,6498.09,-1548.81,15,0.1,Customer_46,City_46,Cash,-0.24
48,South,Haryana,Electronics,Non-Fiction,42509.67,14786.81,9,0.0,Customer_47,City_47,Debit Card,0.35
49,West,Chhattisgarh,Clothing,Women's Fashion,27465.67,5890.21,12,0.0,Customer_48,City_48,Debit Card,0.21
50,West,Manipur,Clothing,Cookware,917.06,12452.19,7,0.05,Customer_49,City_49,Cash,13.58
51,West,Tamil Nadu,Home & Kitchen,Audio,15051.06,-496.79,14,0.05,Customer_50,City_50,UPI,-0.03
52,Central,Punjab,Electronics,Haircare,45515.94,-4037.82,6,0.15,Customer_51,City_51,Cash,-0.09
53,Central,Kerala,Books,Women's Fashion,11540.04,8636.0,10,0.15,Customer_52,City_52,Cash,0.75
